trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.001, 'e': 0.9588697805724845}",25,0,-177.05864143688336,"{0: 11, 1: 2, 2: 10, 3: 0, 4: 2}",0
43,False,"{'a': 0.001, 'e': 0.9579113900670306}",20,0,-51.936348302000816,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
44,False,"{'a': 0.001, 'e': 0.9569539574730467}",20,0,-95.99142989059408,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
45,False,"{'a': 0.001, 'e': 0.9559974818331}",25,0,-119.1336616482476,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
46,False,"{'a': 0.001, 'e': 0.9550419621907147}",25,0,-72.66364465241205,"{0: 13, 1: 6, 2: 6, 3: 0, 4: 0}",0
47,False,"{'a': 0.001, 'e': 0.9540873975903711}",30,0,-236.37437315552958,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 5}",0
48,False,"{'a': 0.001, 'e': 0.9531337870775047}",20,0,-17.52630395359696,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
49,False,"{'a': 0.001, 'e': 0.9521811296985049}",20,7,-64.85997044340616,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 1}",1
50,False,"{'a': 0.001, 'e': 0.951229424500714}",20,0,-164.00541542392642,"{0: 7, 1: 6, 2: 4, 3: 1, 4: 2}",0
51,False,"{'a': 0.001, 'e': 0.950278670532427}",30,0,-127.31515911894412,"{0: 16, 1: 5, 2: 8, 3: 0, 4: 1}",0
52,False,"{'a': 0.001, 'e': 0.9493288668428895}",20,0,-124.87326225238415,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 3}",0
53,False,"{'a': 0.001, 'e': 0.9483800124822982}",30,0,-115.91717778062147,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
54,False,"{'a': 0.001, 'e': 0.9474321065017983}",30,0,-102.14566844019092,"{0: 20, 1: 6, 2: 2, 3: 0, 4: 2}",0
55,False,"{'a': 0.001, 'e': 0.9464851479534838}",20,0,-52.96087978878536,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
56,False,"{'a': 0.001, 'e': 0.9455391358903963}",25,0,-94.29938930983951,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
57,False,"{'a': 0.001, 'e': 0.9445940693665233}",20,0,-146.2841255519935,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
58,False,"{'a': 0.001, 'e': 0.9436499474367985}",30,0,-216.30555650034827,"{0: 19, 1: 1, 2: 5, 3: 1, 4: 4}",0
59,False,"{'a': 0.001, 'e': 0.9427067691570997}",20,16,7.17381684531208,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.001, 'e': 0.9417645335842487}",20,0,-54.67873454586993,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
61,False,"{'a': 0.001, 'e': 0.9408232397760097}",20,0,-54.61507219940089,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
62,False,"{'a': 0.001, 'e': 0.9398828867910889}",25,0,-34.695612573439696,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
63,False,"{'a': 0.001, 'e': 0.9389434736891332}",20,0,-46.000563521302304,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
64,False,"{'a': 0.001, 'e': 0.9380049995307295}",20,3,-64.40654944315821,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 1}",1
65,False,"{'a': 0.001, 'e': 0.9370674633774034}",25,0,-164.04240668756304,"{0: 11, 1: 5, 2: 7, 3: 0, 4: 2}",0
66,False,"{'a': 0.001, 'e': 0.9361308642916188}",25,0,-88.37965740171082,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
